[START_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Ten,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big 12,North,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-12,North,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conf USA,East,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt West,Mountain,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Belt,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,Indy,Indy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONFERENCES],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[START_TEAMS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston College,BC,ACC,67,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson,CLEM,ACC,94,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,DUKE,ACC,66,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,FSU,ACC,84,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,GT,ACC,69,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,LOUI,ACC,79,Atlantic,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,MIA,ACC,86,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,UNC,ACC,82,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,NCST,ACC,75,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsburgh,PITT,ACC,83,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,SYR,ACC,64,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,WAKE,ACC,78,Atlantic,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VIR,ACC,62,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,VTEC,ACC,82,Coastal,3,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,ILL,Big Ten,60,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IND,Big Ten,81,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,IOW,Big Ten,86,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,MARY,Big Ten,63,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MIC,Big Ten,88,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,MSU,Big Ten,84,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MIN,Big Ten,81,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,NEB,Big Ten,80,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwestern,NWU,Big Ten,79,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio State,OSU,Big Ten,92,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State,PSU,Big Ten,87,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,PUR,Big Ten,65,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,RUT,Big Ten,60,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,WIS,Big Ten,85,West,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,BAY,Big 12,77,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,ISU,Big 12,83,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,TTEC,Big 12,75,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,KAN,Big 12,60,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas State,KSU,Big 12,78,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OKL,Big 12,92,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,OKST,Big 12,84,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TEX,Big 12,81,South,1,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,TCU,Big 12,70,North,1,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,WVU,Big 12,84,North,2,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,ARIZ,Pac-12,57,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,ASU,Pac-12,60,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CAL,Pac-12,65,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,COL,Pac-12,82,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,OREG,Pac-12,89,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon State,ORST,Pac-12,60,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,STAN,Pac-12,78,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,UCLA,Pac-12,80,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,USC,Pac-12,86,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WASH,Pac-12,82,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington State,WSU,Pac-12,70,North,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,UTAH,Pac-12,81,South,0,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,BAMA,SEC,94,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,ARK,SEC,83,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,AUB,SEC,87,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,FLOR,SEC,86,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,UGA,SEC,91,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,UK,SEC,73,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,LSU,SEC,89,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MIZ,SEC,63,East,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,MISS,SEC,80,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,MSST,SEC,79,West,4,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SC,SEC,65,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,TENN,SEC,79,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas AM,TXAM,SEC,84,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,VAND,SEC,60,East,4,,,,,,,,,,,,,,,,,,,,,,,,,,
[END_CONF],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Florida,UCF,American,80,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,CINN,American,87,East,2,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina,ECU,American,33,East,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,HOU,American,80,West,1,,,,,,,,,,,,,,,,,,,,,,,,,,
